"identity","X","p","Source","lc","50%","uc"
1,"(Intercept)",0.93135234426447,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
2,"(Intercept)",0.505734549202516,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
3,"(Intercept)",0.96677218825251,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
4,"(Intercept)",0.75485031095178,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
5,"(Intercept)",0.905501102793186,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
6,"(Intercept)",0.253552224751422,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
7,"(Intercept)",0.643066177226055,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
8,"(Intercept)",0.908333514889723,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
9,"(Intercept)",0.875071571035635,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
10,"(Intercept)",0.907107296419844,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
11,"(Intercept)",0.704356498921467,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
12,"(Intercept)",0.366092956050718,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
13,"(Intercept)",0.785358774993146,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
14,"(Intercept)",0.66833352825224,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
15,"(Intercept)",0.976549913983647,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
16,"(Intercept)",0.846965869259926,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
17,"(Intercept)",0.875766538029394,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
18,"(Intercept)",0.966155512580246,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
19,"(Intercept)",0.936874600185999,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
20,"(Intercept)",0.95360849707539,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
21,"(Intercept)",0.962827367363143,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
22,"(Intercept)",0.228898725593843,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
23,"(Intercept)",0.819260818768092,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
24,"(Intercept)",0.820983916070837,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
25,"(Intercept)",0.96464327649173,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
26,"(Intercept)",0.851378767044218,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
27,"(Intercept)",0.995232015954541,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
28,"(Intercept)",0.971991583365996,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
29,"(Intercept)",0.998415337893118,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
30,"(Intercept)",0.706353843538946,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
31,"(Intercept)",0.692108754871696,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
32,"(Intercept)",0.968036155562561,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
33,"(Intercept)",0.737361333601841,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
35,"(Intercept)",0.799509881605758,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
36,"(Intercept)",0.961125770423076,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
37,"(Intercept)",0.986857049534409,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
38,"(Intercept)",0.197935953928436,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
39,"(Intercept)",0.953820969618342,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
41,"(Intercept)",0.933051563444072,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
42,"(Intercept)",0.970261600507965,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
43,"(Intercept)",0.298539312180653,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
44,"(Intercept)",0.985777668073851,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
45,"(Intercept)",0.314821331067686,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
46,"(Intercept)",0.960785039772649,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
47,"(Intercept)",0.750866992418262,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
48,"(Intercept)",0.942856715290866,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
49,"(Intercept)",0.987139951105769,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
50,"(Intercept)",0.94910281364624,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
51,"(Intercept)",0.941717814447845,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
52,"(Intercept)",0.971762521141471,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
53,"(Intercept)",0.948511815551475,"Cattle",0.0524294262578098,0.902005919145787,0.998855404350076
