"identity","X","p","Source","lc","50%","uc"
1,"(Intercept)",0.236687871926833,"Cattle",0.000845154958979256,0.141289918405259,0.988499949280003
2,"(Intercept)",0.0354117855023556,"Cattle",0.000845154958979256,0.141289918405259,0.988499949280003
3,"(Intercept)",0.0236356319834392,"Cattle",0.000845154958979256,0.141289918405259,0.988499949280003
4,"(Intercept)",0.00590122864508441,"Cattle",0.000845154958979256,0.141289918405259,0.988499949280003
5,"(Intercept)",0.876752809983199,"Cattle",0.000845154958979256,0.141289918405259,0.988499949280003
6,"(Intercept)",0.0182900318117357,"Cattle",0.000845154958979256,0.141289918405259,0.988499949280003
7,"(Intercept)",0.297011081472727,"Cattle",0.000845154958979256,0.141289918405259,0.988499949280003
8,"(Intercept)",0.0390432991232501,"Cattle",0.000845154958979256,0.141289918405259,0.988499949280003
9,"(Intercept)",0.0557181703913082,"Cattle",0.000845154958979256,0.141289918405259,0.988499949280003
10,"(Intercept)",0.0223963063378058,"Cattle",0.000845154958979256,0.141289918405259,0.988499949280003
11,"(Intercept)",0.280414262361705,"Cattle",0.000845154958979256,0.141289918405259,0.988499949280003
12,"(Intercept)",0.0015600932080234,"Cattle",0.000845154958979256,0.141289918405259,0.988499949280003
13,"(Intercept)",0.988343761054657,"Cattle",0.000845154958979256,0.141289918405259,0.988499949280003
14,"(Intercept)",0.00956206248579536,"Cattle",0.000845154958979256,0.141289918405259,0.988499949280003
15,"(Intercept)",0.11097123760614,"Cattle",0.000845154958979256,0.141289918405259,0.988499949280003
16,"(Intercept)",0.243619391305314,"Cattle",0.000845154958979256,0.141289918405259,0.988499949280003
17,"(Intercept)",0.0579114231113781,"Cattle",0.000845154958979256,0.141289918405259,0.988499949280003
20,"(Intercept)",0.0203216035263044,"Cattle",0.000845154958979256,0.141289918405259,0.988499949280003
21,"(Intercept)",0.00506984898776997,"Cattle",0.000845154958979256,0.141289918405259,0.988499949280003
22,"(Intercept)",0.0130053750621838,"Cattle",0.000845154958979256,0.141289918405259,0.988499949280003
23,"(Intercept)",0.0829943409094786,"Cattle",0.000845154958979256,0.141289918405259,0.988499949280003
